filename,filepath,parse_success,error,title,composer,num_parts,num_measures,actual_measures,num_notes,num_chords,num_rest,num_accidentals,accidental_ratio,pitch_min,pitch_max,pitch_range_semitones,num_large_leaps,large_leap_ratio,max_large_leap_semitones,max_polyphony,duration_quarter_lengths,note_density,chord_ratio,tempo_bpm,time_signatures,key_signature_sharps,no_key_signature,right_hand_single_notes,right_hand_chords,left_hand_single_notes,left_hand_chords,left_hand_melody_range_semitones,left_hand_is_melody,selected
Adolgard_Anthem__Neyliece__m036-043__c000952.musicxml,Candidate\Adolgard_Anthem__Neyliece__m036-043__c000952.musicxml,True,,Ottoman Ballad ,Neyliece,2,16,8,67,5,7,0,0.0,B2,E5,29,1,0.0196078431372549,12,4,32.0,2.09375,0.08771929824561403,,4/4,0,True,52,0,0,5,0,False,True
Alabaster__NA__m034-041__c003691.musicxml,Candidate\Alabaster__NA__m034-041__c003691.musicxml,True,,2020 - piano 1.27,,2,16,8,81,9,3,5,0.06172839506172839,A1,D5,41,2,0.03278688524590164,11,2,32.0,2.53125,0.125,,4/4,0,True,32,9,31,0,27,False,True
All_Falls_Down__Alan_Walker__m016-023__c002383.musicxml,Candidate\All_Falls_Down__Alan_Walker__m016-023__c002383.musicxml,True,,All Falls Down,Alan Walker,2,16,8,63,5,5,0,0.0,F2,E4,23,2,0.0392156862745098,11,3,32.0,1.96875,0.08620689655172414,,4/4,0,True,32,0,21,5,19,False,True
All_Falls_Down__Alan_Walker__m029-036__c002384.musicxml,Candidate\All_Falls_Down__Alan_Walker__m029-036__c002384.musicxml,True,,All Falls Down,Alan Walker,2,16,8,52,6,4,0,0.0,F2,A4,28,1,0.02631578947368421,11,3,32.0,1.625,0.13043478260869565,,4/4,0,True,22,0,18,6,14,False,True
All_Falls_Down__Alan_Walker__m062-069__c002386.musicxml,Candidate\All_Falls_Down__Alan_Walker__m062-069__c002386.musicxml,True,,All Falls Down,Alan Walker,2,16,8,62,8,4,0,0.0,F2,C5,31,2,0.047619047619047616,15,4,32.0,1.9375,0.15384615384615385,,4/4,0,True,26,0,18,8,14,False,True
Breetle__MidnightChipmunk__m011-018__c003220.musicxml,Candidate\Breetle__MidnightChipmunk__m011-018__c003220.musicxml,True,,Breetle,,2,16,8,76,6,0,0,0.0,G2,F5,34,1,0.016666666666666666,12,4,32.0,2.375,0.08823529411764706,,4/4,0,True,38,0,24,6,12,False,True
Burgmueller_25_leichte_Etuden_Op100-01_MuseScore__Friedrich_Burgm_ller__m001-008__c000114.musicxml,Candidate\Burgmueller_25_leichte_Etuden_Op100-01_MuseScore__Friedrich_Burgm_ller__m001-008__c000114.musicxml,True,,,Fricdrich Burgmiillcr,2,16,8,86,9,2,1,0.011627906976744186,B2,C6,37,1,0.016666666666666666,12,4,32.0,2.6875,0.12857142857142856,152.0,4/4,0,True,61,0,0,9,0,False,True
Can_t_go_anywhere_else__Apple_Rumble__m013-020__c000815.musicxml,Candidate\Can_t_go_anywhere_else__Apple_Rumble__m013-020__c000815.musicxml,True,,Can't go anywhere else,Apple Rumble,2,16,8,56,4,29,0,0.0,G2,A5,38,1,0.021739130434782608,10,3,32.0,1.75,0.07692307692307693,,4/4,0,True,31,0,17,4,24,False,True
Deck_The_Halls__Traditional__m005-012__c000658.musicxml,Candidate\Deck_The_Halls__Traditional__m005-012__c000658.musicxml,True,,Deck The Halls,Traditional,2,16,8,65,1,0,1,0.015384615384615385,D2,C6,46,2,0.03333333333333333,12,4,32.0,2.03125,0.015873015873015872,,4/4,0,True,36,0,26,1,17,False,True
Demons_Imagine_Dragons_Easy_version__Imagine_Dragons__m040-047__c002107.musicxml,Candidate\Demons_Imagine_Dragons_Easy_version__Imagine_Dragons__m040-047__c002107.musicxml,True,,Demons,Imagine Dragons,2,16,8,72,8,2,0,0.0,F2,G5,38,1,0.01818181818181818,12,3,32.0,2.25,0.125,,4/4,0,True,56,0,0,8,0,False,True
